Dispensary Name	License Name	License	City	Times on List
Ganja Express Dispensary	Ganja Express Dispensary	OCM-RETL-25-000279	Yorkville	1
Green Flower Wellness Ozone Park	Green Flower Wellness Ozone Park	OCM-RETL-25-000438	Ozone Park	1
Green Leaf Dispensary			OCM-CAURD-25-000232		1
Happy Munkey Dyckman			OCM-CAURD-24-000176		1
Happy Times Cannabis Co.	Happy Times Cannabis Co.	OCM-RETL-24-000082	Cheektowaga	1
Happy Times Staten Island	Happy Times Staten Island	OCM-RETL-25-000448	Staten Island	1
Haze and Harvest	Haze and Harvest	OCM-CAURD-25-000323	Newark	1
Hold Up Roll Up, LLC	Hold Up Roll Up, LLC	OCM-CAURD-24-000135	Albany	1
Hudson Haze	Hudson Haze	OCM-CAURD-25-000322	Brooklyn	1
Ignyte Whitestone			OCM-RETL-24-000077		1
NY Cannabis Co.	AA 301 W. 45th St Inc.	OCM-RETL-24-000178	New York	1
RISE	Fiorello Pharmaceuticals, Inc.	MM0704D	Rochester	1
RISE Dispensary East Syracuse	Fiorello Pharmaceuticals, Inc.	MM0706D	East Syracuse	1
RISE Dispensary Halfmoon	RISE Dispensary Halfmoon	MM0705D	Halfmoon	1
Rolling J's				New York	1
Southern Tier Cannabis	Southern Tier Cannabis	OCM-RETL-25-000350	Alfred	1
The Travel Agency			SoHo — OCM-RETL-25-000355		1
